var,dtype,dims,shape,chunks,compressor,missing_fraction,min,max,mean,std
labels_30m/landsat/band_names,StringDType(),,2,[2],"(ZstdCodec(level=0, checksum=False),)",,,,,
labels_30m/landsat/data,float32,,4029x2x1610x1724,"[1, 2, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
labels_30m/landsat/labels,StringDType(),,4029,[4029],"(ZstdCodec(level=0, checksum=False),)",,,,,
labels_30m/landsat/valid,uint8,,4029x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
meta/canonical_manifest_json,StringDType(),,1,[1],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/era5/band_names,StringDType(),,8,[8],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/era5/data,float32,,4029x8x1610x1724,"[1, 8, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
products_30m/era5/labels,StringDType(),,4029,[4029],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/era5/valid,uint8,,4029x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
products_30m/sentinel1/band_names,StringDType(),,6,[6],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/sentinel1/data,float32,,133x6x1610x1724,"[1, 6, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
products_30m/sentinel1/labels,StringDType(),,133,[133],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/sentinel1/valid,uint8,,133x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
products_30m/sentinel2/band_names,StringDType(),,17,[17],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/sentinel2/data,float32,,133x17x1610x1724,"[1, 17, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
products_30m/sentinel2/labels,StringDType(),,133,[133],"(ZstdCodec(level=0, checksum=False),)",,,,,
products_30m/sentinel2/valid,uint8,,133x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
static_30m/dem/band_names,StringDType(),,3,[3],"(ZstdCodec(level=0, checksum=False),)",,,,,
static_30m/dem/data,float32,,1x3x1610x1724,"[1, 3, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
static_30m/dem/labels,StringDType(),,1,[1],"(ZstdCodec(level=0, checksum=False),)",,,,,
static_30m/dem/valid,uint8,,1x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
static_30m/dynamic_world/band_names,StringDType(),,1,[1],"(ZstdCodec(level=0, checksum=False),)",,,,,
static_30m/dynamic_world/data,float32,,1x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
static_30m/dynamic_world/labels,StringDType(),,1,[1],"(ZstdCodec(level=0, checksum=False),)",,,,,
static_30m/dynamic_world/valid,uint8,,1x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
static_30m/worldcover/band_names,StringDType(),,1,[1],"(ZstdCodec(level=0, checksum=False),)",,,,,
static_30m/worldcover/data,float32,,1x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=4, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
static_30m/worldcover/labels,StringDType(),,1,[1],"(ZstdCodec(level=0, checksum=False),)",,,,,
static_30m/worldcover/valid,uint8,,1x1x1610x1724,"[1, 1, 256, 256]","(BloscCodec(_tunable_attrs=set(), typesize=1, cname=<BloscCname.zstd: 'zstd'>, clevel=9, shuffle=<BloscShuffle.bitshuffle: 'bitshuffle'>, blocksize=0),)",,,,,
