region_id,area_pixels,area_ha,hotspot_frequency_mean,mean_excess_heat_c,hotspot_score_mean,mean_night_cooling_c,cooling_deficit_c,centroid_y,centroid_x,centroid_row,centroid_col,centroid_easting_m,centroid_northing_m,centroid_lon,centroid_lat,min_row,max_row,min_col,max_col,bbox_min_lon,bbox_max_lon,bbox_min_lat,bbox_max_lat,display_name,place_name,road,neighbourhood,suburb,city_district,village,town,city,county,state_district,state,postcode,country,country_code,osm_building_count,osm_building_footprint_area_m2,osm_building_density_fraction,osm_building_density_percent,osm_building_count_per_ha
1,49,4.41,0.3531636595726013,3.1927573680877686,1.1323856115341187,1.6276355981826782,5.3219075202941895,50.53061224489796,1395.9183673469388,50.53061224489796,1395.9183673469388,211557.55102040817,1140014.081632653,78.36652145262617,10.302225908088829,47,54,1392,1399,78.36530306843525,78.36751067754034,10.30114017746343,10.303326365762148,"South Thethur, Manapparai, Tiruchirappalli, Tamil Nadu, 627861, India",South Thethur,,,,,South Thethur,,,Manapparai,Tiruchirappalli,Tamil Nadu,627861,India,in,0,0.0,0.0,0.0,0.0
2,127,11.43,0.3605022132396698,3.149397373199463,1.1407392024993896,2.8271286487579346,4.122415065765381,123.5748031496063,1460.8110236220473,123.5748031496063,1460.8110236220473,213504.3307086614,1137822.7559055118,78.38444586206958,10.282571628241959,116,131,1455,1467,78.38270058556309,78.38629421974952,10.280409567876085,10.28477507059607,"Trichy - Madurai highway, Melur, Madurai, Tamil Nadu, 630309, India",Melur,Trichy - Madurai highway,,,,,,,Melur,Madurai,Tamil Nadu,630309,India,in,0,0.0,0.0,0.0,0.0
3,40,3.5999999999999996,0.35453668236732483,3.0975074768066406,1.1041685342788696,1.3596709966659546,5.589871883392334,125.925,1415.675,125.925,1415.675,212150.25,1137752.25,78.37209806846765,10.281834621515197,122,130,1413,1419,78.37121919907158,78.37315516047856,10.280587538156748,10.283042490321206,"Melur, Madurai, Tamil Nadu, 627861, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,627861,India,in,0,0.0,0.0,0.0,0.0
4,41,3.69,0.3824276924133301,3.371166229248047,1.296600103378296,3.3563830852508545,3.5931601524353027,160.8780487804878,1465.3658536585365,160.8780487804878,1465.3658536585365,213640.9756097561,1136703.6585365853,78.38577562804848,10.27247070506506,157,165,1463,1469,78.384981547025,78.38691734884928,10.271211606691844,10.27366649196887,"Trichy - Madurai highway, Melur, Madurai, Tamil Nadu, 630309, India",Melur,Trichy - Madurai highway,,,,,,,Melur,Madurai,Tamil Nadu,630309,India,in,0,0.0,0.0,0.0,0.0
5,28,2.52,0.3454219698905945,3.4144155979156494,1.1850602626800537,4.43572998046875,2.5138132572174072,184.92857142857142,1467.607142857143,184.92857142857142,1467.607142857143,213708.2142857143,1135982.142857143,78.38644258372213,10.265956786429845,181,189,1465,1470,78.38558238011755,78.3872444542432,10.264710854409229,10.267163524112204,"Melur, Madurai, Tamil Nadu, 625103, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625103,India,in,0,0.0,0.0,0.0,0.0
6,35,3.15,0.3291781544685364,3.2859585285186768,1.0827478170394897,1.8238455057144165,5.125697612762451,242.05714285714285,1368.5714285714287,242.05714285714285,1368.5714285714287,210737.14285714287,1134268.2857142857,78.3594679120409,10.2502529779566,238,247,1366,1371,78.35861716718786,78.36028154475719,10.248770896303665,10.251494674614996,"Melur, Madurai, Tamil Nadu, 625103, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625103,India,in,0,0.0,0.0,0.0,0.0
7,220,19.8,0.3697437644004822,3.1948835849761963,1.1905709505081177,3.0988857746124268,3.8506569862365723,246.47727272727272,1458.8818181818183,246.47727272727272,1458.8818181818183,213446.45454545456,1134135.6818181819,78.3841917402463,10.24925485718713,238,255,1444,1467,78.3799623855451,78.38657022776559,10.246775348340625,10.25170711951641,"Melur, Madurai, Tamil Nadu, 625103, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625103,India,in,0,0.0,0.0,0.0,0.0
8,34,3.06,0.3459005057811737,3.040501117706299,1.0560212135314941,1.6907364130020142,5.2588067054748535,245.38235294117646,1357.1764705882354,245.38235294117646,1357.1764705882354,210395.29411764705,1134168.5294117648,78.35635712401611,10.249326342719204,242,250,1354,1360,78.3553423190942,78.35727811541,10.247931055378642,10.250386025860957,"Melur, Madurai, Tamil Nadu, 625103, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625103,India,in,0,0.0,0.0,0.0,0.0
9,143,12.87,0.36733534932136536,4.394469738006592,1.615665078163147,6.009332180023193,0.9402112364768982,327.7902097902098,1266.937062937063,327.7902097902098,1266.937062937063,207688.1118881119,1131696.2937062937,78.3318499834318,10.226788857784436,318,343,1259,1272,78.32951805636952,78.33340769345995,10.222511994253708,10.229590365342155,"Melur, Madurai, Tamil Nadu, 625103, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625103,India,in,0,0.0,0.0,0.0,0.0
10,230,20.7,0.4076884388923645,4.69503116607666,1.9252729415893555,5.945098400115967,1.0044448375701904,341.495652173913,1251.2608695652175,341.495652173913,1251.2608695652175,207217.82608695654,1131285.1304347827,78.32759163296748,10.223038998563826,329,352,1239,1266,78.3240704700868,78.33178631716058,10.220027754686546,10.226595497879874,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
11,31,2.79,0.3329181671142578,4.644782066345215,1.546351432800293,6.0121564865112305,0.9373874068260193,344.16129032258067,1120.6451612903227,344.16129032258067,1120.6451612903227,203299.3548387097,1131205.1612903227,78.29185884681094,10.22202130377567,341,347,1117,1124,78.2907162600736,78.2929212500778,10.221106986038425,10.22302238757728,"Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road, Natham, Dindigul, Tamil Nadu, 624402, India",Natham,Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road,,,,,,,Natham,Dindigul,Tamil Nadu,624402,India,in,0,0.0,0.0,0.0,0.0
12,94,8.459999999999999,0.38158223032951355,4.519707679748535,1.7270731925964355,6.22884464263916,0.775661051273346,357.01063829787233,1110.5531914893618,357.01063829787233,1110.5531914893618,202996.59574468085,1130819.680851064,78.2891270832506,10.218515798187317,352,363,1104,1116,78.28718458344203,78.29076909712428,10.216740938519491,10.220022872424808,"Natham, Dindigul, Tamil Nadu, 625105, India",Natham,,,,,,,,Natham,Dindigul,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
