split,date
train,2025-08-13
train,2025-04-15
train,2025-07-28
train,2021-09-19
train,2022-02-02
train,2020-06-12
train,2022-12-11
train,2018-03-03
train,2024-11-22
train,2023-02-05
train,2024-02-24
train,2022-10-08
train,2020-04-25
train,2025-11-25
train,2024-09-03
train,2021-08-18
train,2019-03-06
train,2021-05-30
train,2022-10-24
train,2019-09-14
train,2022-02-18
train,2024-06-07
train,2025-05-25
train,2025-12-11
train,2024-05-22
train,2024-03-27
train,2020-10-18
train,2024-11-14
train,2023-10-19
train,2025-03-30
train,2021-10-21
train,2021-12-24
train,2023-10-03
train,2020-04-09
train,2022-03-30
train,2020-02-05
train,2022-02-10
train,2023-11-12
train,2025-03-22
train,2023-08-08
train,2021-12-16
train,2021-03-11
train,2022-07-20
train,2022-09-14
train,2022-12-27
train,2025-11-01
train,2023-04-26
train,2018-05-06
train,2025-06-02
train,2024-03-19
train,2022-03-22
train,2025-08-21
train,2024-02-16
train,2023-04-18
train,2019-02-02
train,2022-01-17
train,2022-12-19
train,2022-11-01
train,2024-12-08
train,2024-09-27
train,2022-04-23
train,2024-04-12
train,2023-04-10
train,2019-08-29
train,2023-10-11
train,2024-07-09
train,2023-07-23
train,2022-11-25
train,2022-03-06
train,2018-11-30
train,2024-06-23
train,2025-06-18
train,2019-06-26
train,2018-05-22
train,2023-06-21
train,2023-07-15
train,2019-02-18
train,2024-11-30
train,2019-04-23
train,2025-09-30
train,2021-08-02
train,2023-05-12
train,2023-04-02
train,2024-01-07
train,2018-06-07
train,2023-03-25
train,2020-08-31
train,2024-11-06
train,2024-04-28
train,2023-09-17
train,2018-03-19
train,2023-08-16
train,2021-01-22
train,2023-03-17
train,2025-09-22
train,2025-12-19
train,2021-04-12
train,2025-09-14
train,2024-12-24
train,2022-06-26
train,2022-05-25
train,2022-05-17
train,2019-03-22
train,2023-11-28
train,2020-07-14
train,2018-01-14
train,2023-10-27
train,2018-02-15
train,2019-06-10
train,2021-02-07
train,2025-02-26
train,2025-08-29
train,2022-08-21
train,2020-03-08
train,2023-05-28
train,2020-06-28
train,2022-12-03
train,2021-01-06
train,2020-05-11
train,2024-01-15
train,2021-11-22
train,2019-04-07
train,2024-08-18
train,2021-09-03
train,2022-05-09
train,2025-01-01
train,2022-09-06
train,2018-07-25
train,2025-10-08
train,2023-09-09
train,2022-11-09
train,2025-04-07
train,2025-05-01
train,2022-01-09
train,2023-01-04
train,2019-09-30
train,2023-06-05
train,2018-08-10
train,2023-05-04
train,2024-09-19
train,2018-04-04
train,2021-11-06
train,2025-08-05
train,2024-04-20
train,2024-07-01
train,2024-08-10
train,2023-12-30
train,2023-06-29
train,2021-07-17
train,2025-02-02
train,2022-08-29
train,2025-02-10
train,2022-07-12
train,2021-10-05
train,2022-09-30
train,2020-01-20
train,2022-04-15
train,2022-01-01
train,2018-10-29
train,2024-03-03
train,2021-12-08
train,2024-08-26
train,2022-06-18
train,2021-04-28
train,2023-11-20
train,2018-12-16
train,2023-05-20
train,2022-01-25
train,2024-12-16
train,2020-12-21
train,2025-09-06
train,2022-03-14
train,2021-03-27
train,2024-10-21
train,2024-06-15
train,2023-06-13
train,2022-10-16
train,2023-12-22
train,2025-07-20
train,2022-08-13
train,2021-05-14
train,2024-03-11
val,2018-06-23
val,2022-07-28
val,2025-11-09
val,2023-07-07
val,2020-11-19
val,2024-02-08
val,2018-01-30
val,2019-11-17
val,2022-09-22
val,2018-10-13
val,2023-09-25
val,2025-06-26
val,2020-05-27
val,2021-06-15
val,2024-10-05
val,2019-10-16
val,2021-02-23
val,2025-01-09
val,2022-11-17
val,2024-08-02
val,2022-05-01
val,2024-09-11
val,2025-01-17
val,2018-07-09
val,2023-03-09
val,2019-12-19
test,2025-03-14
test,2023-07-31
test,2020-10-02
test,2020-07-30
test,2024-10-29
test,2019-01-17
test,2023-09-01
test,2025-01-25
test,2018-09-11
test,2023-12-14
test,2020-09-16
test,2022-06-02
test,2023-01-20
test,2024-04-04
test,2019-05-25
test,2025-03-06
test,2018-09-27
test,2020-01-04
test,2025-07-12
test,2025-02-18
test,2025-06-10
test,2024-05-14
test,2019-07-12
test,2019-05-09
test,2020-08-15
test,2024-07-17
test,2019-07-28
test,2021-07-01
test,2024-01-31
test,2020-03-24
test,2018-04-20
test,2022-04-07
test,2023-12-06
test,2023-02-13
test,2025-07-04
test,2019-11-01
test,2022-06-10
test,2019-01-01
test,2018-11-14
test,2023-08-24
test,2020-12-05
test,2020-02-21
test,2022-07-04
test,2025-05-09
test,2023-02-21
test,2024-01-23
test,2025-04-23
test,2018-08-26
test,2023-03-01
test,2024-05-06
test,2019-08-13
test,2022-02-26
test,2023-01-12
