landsat_date,landsat_satellite,outlier,era5_files,modis_files,viirs_files
2018-01-14,8,no,ERA5L_2018_01_14_Madurai.tif,,viirs_raw_2018_01_14_4band.tif
2018-01-30,8,no,ERA5L_2018_01_30_Madurai.tif,,viirs_raw_2018_01_30_4band.tif
2018-02-15,8,no,ERA5L_2018_02_15_Madurai.tif,,viirs_raw_2018_02_15_4band.tif
2018-03-03,8,no,ERA5L_2018_03_03_Madurai.tif,,viirs_raw_2018_03_03_4band.tif
2018-03-19,8,no,ERA5L_2018_03_19_Madurai.tif,,viirs_raw_2018_03_19_4band.tif
2018-04-04,8,no,ERA5L_2018_04_04_Madurai.tif,,viirs_raw_2018_04_04_4band.tif
2018-04-20,8,no,ERA5L_2018_04_20_Madurai.tif,,viirs_raw_2018_04_20_4band.tif
2018-05-06,8,no,ERA5L_2018_05_06_Madurai.tif,,viirs_raw_2018_05_06_4band.tif
2018-05-22,8,no,ERA5L_2018_05_22_Madurai.tif,,viirs_raw_2018_05_22_4band.tif
2018-06-07,8,no,ERA5L_2018_06_07_Madurai.tif,,viirs_raw_2018_06_07_4band.tif
2018-06-23,8,yes,ERA5L_2018_06_23_Madurai.tif,,viirs_raw_2018_06_23_4band.tif
2018-07-09,8,yes,ERA5L_2018_07_09_Madurai.tif,,viirs_raw_2018_07_09_4band.tif
2018-07-25,8,no,ERA5L_2018_07_25_Madurai.tif,,viirs_raw_2018_07_25_4band.tif
2018-08-10,8,no,ERA5L_2018_08_10_Madurai.tif,,viirs_raw_2018_08_10_4band.tif
2018-08-26,8,yes,ERA5L_2018_08_26_Madurai.tif,,viirs_raw_2018_08_26_4band.tif
2018-09-11,8,no,ERA5L_2018_09_11_Madurai.tif,,viirs_raw_2018_09_11_4band.tif
2018-09-27,8,no,ERA5L_2018_09_27_Madurai.tif,,viirs_raw_2018_09_27_4band.tif
2018-10-13,8,no,ERA5L_2018_10_13_Madurai.tif,,viirs_raw_2018_10_13_4band.tif
2018-10-29,8,no,ERA5L_2018_10_29_Madurai.tif,,viirs_raw_2018_10_29_4band.tif
2018-11-14,8,no,ERA5L_2018_11_14_Madurai.tif,,viirs_raw_2018_11_14_4band.tif
2018-11-30,8,no,ERA5L_2018_11_30_Madurai.tif,,viirs_raw_2018_11_30_4band.tif
