epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_bias,val_bias,train_a_mean,val_a_mean,train_b_mean,val_b_mean,train_cal_penalty,val_cal_penalty
1,5.439934041765001,3.963225837107058,6.275536060333252,4.907391548156738,4.823973655700684,3.75703501701355,-1.5571600198745728,-0.7023000121116638,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
2,4.637414269977146,3.9110164244969687,5.809286117553711,4.883052825927734,4.36068868637085,3.702636241912842,0.30508682131767273,-1.3947993516921997,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
3,4.063019222683376,3.5860350728034973,5.261303424835205,4.387811660766602,3.911642074584961,3.430941104888916,-0.3024498522281647,-0.4095246195793152,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
4,3.6134021944469876,3.2741280418855174,4.912500381469727,4.143927574157715,3.58465313911438,3.1751606464385986,-0.22635747492313385,-0.35006994009017944,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
5,3.196973297331068,3.060423700897782,4.622838497161865,3.9755680561065674,3.285015106201172,3.0084989070892334,0.014421133324503899,-0.5772714614868164,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
6,2.9845046864615545,3.2083043301547014,4.425014495849609,4.1628875732421875,3.136364221572876,3.1524429321289062,0.07481623440980911,-0.050744347274303436,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
7,2.7632921006944446,3.8755234016312494,4.260589599609375,4.827333927154541,2.9627318382263184,3.6724822521209717,0.09081447124481201,-1.8621894121170044,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
8,2.627105414867401,3.671973177680263,4.127289295196533,4.675974369049072,2.842595100402832,3.5257554054260254,0.18017753958702087,-1.6506704092025757,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
9,2.5501177774535284,4.111664939809729,4.011937618255615,5.1215715408325195,2.767214059829712,3.8650712966918945,0.13309912383556366,-2.259226083755493,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
10,2.4535441862212286,4.090025243935762,3.8751280307769775,5.415762901306152,2.6743271350860596,3.867526054382324,0.13658516108989716,-1.1784241199493408,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
11,2.4027129345470004,4.015428801377614,3.818296432495117,5.3542022705078125,2.630124092102051,3.82028865814209,0.13478825986385345,-1.529870867729187,1.0,0.9999999977924205,0.0,0.0,0.0,0.0
