Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_143053_20130403_20200912_02_T1,LC08_L1TP_143053_20130403_20200912_02_T1,LC81430532013093LGN02,2013/04/03,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-03 05:06:09.406792,2013-04-03 05:06:39.202813,LGN,DAY,  97.66,  97.24,236,5,    7.285,    5.260,    5.039,LPGS_15.3.1c,63.92129531,98.54375479,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'20.17"N,78°19'47.75"E,11°06'24.66"N,77°18'30.20"E,11°07'29.64"N,79°20'00.67"E,9°06'50.29"N,77°19'51.96"E,9°07'43.36"N,79°20'37.64"E, 10.12227,  78.32993, 11.10685,  77.30839, 11.12490,  79.33352,  9.11397,  77.33110,  9.12871,  79.34379,LC08_L2SP_143053_20130403_20200912_02_T1,LC81430532013093LGN02
LC08_L2SP_142053_20130408_20200913_02_T1,LC08_L1TP_142053_20130408_20200913_02_T1,LC81420532013098LGN02,2013/04/08,T1,2, 142, 053, 142, 053,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-08 05:02:52.153221,2013-04-08 05:03:21.949242,LGN,DAY,  11.19,  13.53,315,5,    7.278,    5.054,    5.237,LPGS_15.3.1c,64.65536215,94.41769194,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'20.35"N,79°12'11.23"E,11°06'19.15"N,78°10'01.02"E,11°07'03.61"N,80°13'34.36"E,9°07'07.93"N,78°11'03.55"E,9°07'44.26"N,80°13'51.46"E, 10.12232,  79.20312, 11.10532,  78.16695, 11.11767,  80.22621,  9.11887,  78.18432,  9.12896,  80.23096,LC08_L2SP_142053_20130408_20200913_02_T1,LC81420532013098LGN02
LC08_L2SP_143053_20130524_20200913_02_T1,LC08_L1TP_143053_20130524_20200913_02_T1,LC81430532013144LGN02,2013/05/24,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-24 05:07:17.157658,2013-05-24 05:07:46.953678,LGN,DAY,   3.86,   4.15,632,5,    6.140,    4.054,    4.612,LPGS_15.3.1c,64.43533083,62.45308479,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'21.36"N,78°09'26.14"E,11°06'15.84"N,77°06'49.57"E,11°07'26.47"N,79°10'56.93"E,9°06'43.06"N,77°08'15.61"E,9°07'40.80"N,79°11'37.28"E, 10.12260,  78.15726, 11.10440,  77.11377, 11.12402,  79.18248,  9.11196,  77.13767,  9.12800,  79.19369,LC08_L2SP_143053_20130524_20200913_02_T1,LC81430532013144LGN02
LC08_L2SP_143053_20130625_20200912_02_T1,LC08_L1TP_143053_20130625_20200912_02_T1,LC81430532013176LGN01,2013/06/25,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-25 05:07:10.588644,2013-06-25 05:07:40.384664,LGN,DAY,  68.22,  68.33,268,5,    6.971,    4.820,    5.036,LPGS_15.3.1c,62.21249261,58.27029484,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'20.86"N,78°12'00.50"E,11°06'17.86"N,77°09'27.47"E,11°07'27.37"N,79°13'25.21"E,9°06'44.71"N,77°10'52.54"E,9°07'41.52"N,79°14'04.63"E, 10.12246,  78.20014, 11.10496,  77.15763, 11.12427,  79.22367,  9.11242,  77.18126,  9.12820,  79.23462,LC08_L2SP_143053_20130625_20200912_02_T1,LC81430532013176LGN01
LC08_L2SP_143053_20130727_20200912_02_T1,LC08_L1TP_143053_20130727_20200912_02_T1,LC81430532013208LGN01,2013/07/27,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-27 05:07:12.487782,2013-07-27 05:07:44.257778,LGN,DAY,  80.15,  80.31,118,5,    7.813,    5.249,    5.787,LPGS_15.3.1c,62.79896046,67.51776877,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'20.14"N,78°11'43.66"E,11°09'51.37"N,77°08'15.54"E,11°11'02.36"N,79°14'03.48"E,9°03'09.58"N,77°09'46.15"E,9°04'06.89"N,79°14'44.99"E, 10.12226,  78.19546, 11.16427,  77.13765, 11.18399,  79.23430,  9.05266,  77.16282,  9.06858,  79.24583,LC08_L2SP_143053_20130727_20200912_02_T1,LC81430532013208LGN01
LC08_L2SP_143053_20130812_20200912_02_T1,LC08_L1TP_143053_20130812_20200912_02_T1,LC81430532013224LGN02,2013/08/12,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-08-12 05:07:13.902051,2013-08-12 05:07:45.672047,LGN,DAY,  39.75,  39.65,448,5,    7.172,    4.866,    5.268,LPGS_15.3.1c,63.99747860,76.67664884,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'19.92"N,78°11'20.08"E,11°09'50.98"N,77°07'45.95"E,11°11'02.18"N,79°13'33.82"E,9°03'09.25"N,77°09'16.74"E,9°04'06.78"N,79°14'15.54"E, 10.12220,  78.18891, 11.16416,  77.12943, 11.18394,  79.22606,  9.05257,  77.15465,  9.06855,  79.23765,LC08_L2SP_143053_20130812_20200912_02_T1,LC81430532013224LGN02
LC08_L2SP_143053_20130913_20200912_02_T1,LC08_L1TP_143053_20130913_20200912_02_T1,LC81430532013256LGN01,2013/09/13,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-09-13 05:07:12.965237,2013-09-13 05:07:44.735233,LGN,DAY,  62.31,  62.38,297,5,    7.429,    5.153,    5.352,LPGS_15.3.1c,65.40731438,103.37029428,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'19.96"N,78°10'48.50"E,11°09'50.62"N,77°07'16.32"E,11°11'02"N,79°13'04.15"E,9°03'08.96"N,77°08'47.33"E,9°04'06.64"N,79°13'46.06"E, 10.12221,  78.18014, 11.16406,  77.12120, 11.18389,  79.21782,  9.05249,  77.14648,  9.06851,  79.22946,LC08_L2SP_143053_20130913_20200912_02_T1,LC81430532013256LGN01
LC08_L2SP_143053_20130929_20200913_02_T1,LC08_L1TP_143053_20130929_20200913_02_T1,LC81430532013272LGN01,2013/09/29,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/13,2020/09/13,2013-09-29 05:07:05.810495,2013-09-29 05:07:37.580491,LGN,DAY,  19.98,  19.82,628,5,    6.223,    4.466,    4.334,LPGS_15.3.1c,64.26027528,118.11090751,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'21"N,78°11'52.76"E,11°09'51.48"N,77°08'25.40"E,11°11'02.44"N,79°14'13.34"E,9°03'09.68"N,77°09'55.98"E,9°04'06.96"N,79°14'54.82"E, 10.12250,  78.19799, 11.16430,  77.14039, 11.18401,  79.23704,  9.05269,  77.16555,  9.06860,  79.24856,LC08_L2SP_143053_20130929_20200913_02_T1,LC81430532013272LGN01
LC08_L2SP_143053_20131015_20200912_02_T1,LC08_L1TP_143053_20131015_20200912_02_T1,LC81430532013288LGN01,2013/10/15,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-10-15 05:07:05.277852,2013-10-15 05:07:37.047848,LGN,DAY,  21.22,  21.58,577,5,    6.469,    4.614,    4.534,LPGS_15.3.1c,61.63585584,130.49926735,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'20.96"N,78°11'03.84"E,11°09'50.87"N,77°07'36.08"E,11°11'02.08"N,79°13'14.02"E,9°03'09.18"N,77°09'06.95"E,9°04'06.67"N,79°13'55.88"E, 10.12249,  78.18440, 11.16413,  77.12669, 11.18391,  79.22056,  9.05255,  77.15193,  9.06852,  79.23219,LC08_L2SP_143053_20131015_20200912_02_T1,LC81430532013288LGN01
LC08_L2SP_143053_20131031_20200912_02_T1,LC08_L1TP_143053_20131031_20200912_02_T1,LC81430532013304LGN01,2013/10/31,T1,2, 143, 053, 143, 053,NADIR,   0.000,2020/09/12,2020/09/12,2013-10-31 05:06:57.128295,2013-10-31 05:07:28.898291,LGN,DAY,  57.85,  57.47,148,5,    8.027,    5.845,    5.501,LPGS_15.3.1c,58.07665671,139.14237509,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,44,WGS84,WGS84,10°07'21.65"N,78°11'56.22"E,11°09'51.48"N,77°08'25.40"E,11°11'02.44"N,79°14'13.34"E,9°03'09.68"N,77°09'55.98"E,9°04'06.96"N,79°14'54.82"E, 10.12268,  78.19895, 11.16430,  77.14039, 11.18401,  79.23704,  9.05269,  77.16555,  9.06860,  79.24856,LC08_L2SP_143053_20131031_20200912_02_T1,LC81430532013304LGN01
